c  
c d-f data from Barklem, O'Mara and Ross, 1998, MNRAS, 296, 1057
c
808   873   958  1059  1175  1306  1453  1615  1793  1979  2121  2203  2461  2604  2764  2757  2784  3156 
798   866   953  1052  1172  1299  1450  1606  1776  1967  2114  2196  2451  2601  2763  2767  2783  3142 
781   848   934  1030  1149  1276  1416  1596  1751  1944  2100  2188  2436  2594  2767  2777  2795  3123 
766   831   915  1010  1124  1239  1398  1564  1729  1912  2083  2180  2426  2585  2776  2790  2808  3106 
750   814   897   987  1097  1201  1355  1530  1718  1875  2060  2171  2414  2575  2779  2809  2820  3103 
733   797   872   950  1049  1166  1326  1502  1670  1851  2026  2165  2396  2562  2779  2827  2832  3099 
726   786   853   936  1011  1128  1303  1472  1649  1844  1979  2159  2371  2548  2778  2840  2848  3103 
709   783   847   912  1002  1093  1270  1419  1606  1787  1951  2139  2335  2533  2775  2847  2863  3104 
758   721   838   907  1010  1066  1211  1401  1600  1774  1972  2098  2313  2528  2781  2857  2892  3121 
869   882   820   870  1003  1098  1165  1368  1527  1735  1896  2030  2288  2534  2776  2844  2902  3123 
970   967   934   938   918  1130  1194  1287  1507  1679  1821  2021  2271  2525  2732  2786  2882  3085 
1079  1043  1056  1007  1014  1021  1200  1326  1424  1668  1818  1988  2242  2493  2672  2719  2853  3035 
1174  1173  1127  1154  1104  1099  1169  1288  1442  1580  1704  1882  2136  2400  2561  2648  2832  2994 
1285  1278  1269  1225  1252  1229  1116  1343  1380  1594  1710  1874  2054  2309  2484  2607  2813  2932 
1440  1408  1422  1380  1383  1341  1361  1192  1448  1454  1675  1873  2069  2246  2432  2610  2811  2878 
1572  1545  1553  1517  1481  1502  1469  1349  1373  1561  1586  1781  2072  2301  2490  2626  2754  2832 
1698  1701  1694  1641  1617  1651  1566  1600  1374  1547  1698  1749  1989  2289  2511  2594  2689  2774 
1870  1841  1786  1752  1777  1757  1666  1732  1522  1533  1707  1817  1928  2194  2435  2574  2665  2742  
c        
.295  .286  .299  .300  .307  .310  .311  .311  .316  .319  .325  .351  .364  .369  .372  .379  .373  .351  
.295  .295  .301  .302  .311  .316  .314  .314  .320  .321  .324  .349  .361  .365  .368  .374  .368  .349  
.286  .298  .302  .304  .311  .323  .321  .319  .324  .323  .323  .345  .355  .358  .362  .367  .361  .343  
.290  .295  .307  .316  .322  .329  .326  .325  .329  .324  .321  .343  .350  .351  .354  .360  .358  .337  
.292  .299  .307  .321  .327  .336  .333  .330  .330  .320  .321  .338  .344  .344  .345  .352  .352  .332  
.291  .299  .309  .323  .335  .339  .335  .333  .327  .323  .319  .333  .336  .336  .336  .344  .345  .329  
.297  .302  .312  .321  .340  .338  .333  .327  .325  .319  .318  .324  .329  .330  .330  .336  .337  .325  
.319  .314  .317  .327  .334  .344  .339  .327  .323  .318  .312  .318  .319  .322  .322  .326  .327  .316  
.333  .328  .339  .325  .359  .351  .332  .325  .322  .311  .309  .310  .311  .316  .314  .317  .321  .313  
.274  .273  .323  .412  .318  .339  .359  .328  .324  .311  .309  .325  .322  .315  .318  .319  .325  .314  
.297  .296  .273  .302  .436  .325  .354  .335  .326  .311  .314  .330  .323  .324  .325  .323  .330  .314  
.284  .295  .296  .280  .300  .438  .322  .348  .332  .318  .320  .332  .335  .334  .335  .331  .333  .309  
.280  .278  .285  .297  .279  .320  .445  .319  .320  .324  .328  .338  .348  .346  .345  .336  .328  .300  
.280  .273  .267  .273  .284  .268  .343  .390  .323  .308  .318  .325  .343  .348  .346  .337  .311  .286  
.277  .270  .260  .266  .276  .263  .294  .408  .337  .324  .299  .308  .331  .334  .345  .327  .315  .280  
.270  .262  .258  .260  .273  .273  .262  .375  .410  .298  .312  .294  .313  .331  .328  .322  .307  .270  
.271  .267  .262  .264  .274  .269  .261  .323  .351  .359  .294  .325  .310  .318  .321  .315  .291  .268  
.275  .276  .272  .276  .279  .270  .264  .295  .393  .340  .319  .287  .320  .330  .316  .302  .280  .261  
 
